,Start Station Name,End Station Name,Start Time (per 30min),Avg_Trip_Duration
455,Victoria St / Queen St E,College Park- Gerrard Entrance,25.0,4.644444444444445
470,Victoria St / Queen St E,King St E / Jarvis St,25.0,5.75
467,Victoria St / Queen St E,Elm St/ University Ave (East Side),25.0,6.516666666666667
132,College Park- Gerrard Entrance,Toronto Eaton Centre (Yonge St),25.0,2.933333333333333
163,College Park- Gerrard Entrance,University Ave / Armoury St,25.0,7.033333333333333
179,College Park- Gerrard Entrance,Victoria St / Queen St E,26.0,3.4
117,College Park- Gerrard Entrance,Elm St/ University Ave (East Side),26.0,6.716666666666667
27,1 Market St - SMART,Victoria St / Queen St E,26.0,8.066666666666666
416,University Ave / Armoury St,Toronto Eaton Centre (Yonge St),26.0,3.6166666666666667
434,Victoria St / Queen St E,Church St / Alexander St,26.0,9.333333333333334
380,Union Station,Toronto Eaton Centre (Yonge St),26.0,10.850000000000001
202,Elm St/ University Ave (East Side),College Park- Gerrard Entrance,26.0,3.2333333333333334
471,Victoria St / Queen St E,King St E / Jarvis St,26.0,9.608333333333334
164,College Park- Gerrard Entrance,University Ave / Armoury St,26.0,10.916666666666666
488,Victoria St / Queen St E,Union Station,26.0,6.2
287,Toronto Eaton Centre (Yonge St),King St E / Jarvis St,26.0,14.783333333333333
481,Victoria St / Queen St E,Toronto Eaton Centre (Yonge St),26.0,3.683333333333333
231,King St E / Jarvis St,Church St / Alexander St,26.0,11.516666666666666
15,1 Market St - SMART,King St E / Jarvis St,26.0,4.7
9,1 Market St - SMART,Elm St/ University Ave (East Side),26.0,14.0
305,Toronto Eaton Centre (Yonge St),Victoria St / Queen St E,26.0,2.9833333333333334
77,Church St / Alexander St,Union Station,26.0,17.6
508,Willcocks St / St. George St,College Park- Gerrard Entrance,26.0,6.75
121,College Park- Gerrard Entrance,King St E / Jarvis St,27.0,8.5
435,Victoria St / Queen St E,Church St / Alexander St,27.0,9.883333333333333
224,Elm St/ University Ave (East Side),Willcocks St / St. George St,27.0,7.783333333333333
489,Victoria St / Queen St E,Union Station,27.0,4.533333333333333
336,Union Station,College Park- Gerrard Entrance,27.0,6.566666666666666
456,Victoria St / Queen St E,College Park- Gerrard Entrance,27.0,4.716666666666667
408,University Ave / Armoury St,College Park- Gerrard Entrance,27.0,6.033333333333333
91,Church St / Alexander St,Victoria St / Queen St E,27.0,9.883333333333333
381,Union Station,Toronto Eaton Centre (Yonge St),27.0,16.53333333333333
472,Victoria St / Queen St E,King St E / Jarvis St,27.0,5.949999999999999
133,College Park- Gerrard Entrance,Toronto Eaton Centre (Yonge St),27.0,14.783333333333333
509,Willcocks St / St. George St,College Park- Gerrard Entrance,27.0,9.391666666666666
28,1 Market St - SMART,Victoria St / Queen St E,27.0,10.511111111111111
165,College Park- Gerrard Entrance,University Ave / Armoury St,27.0,7.266666666666667
151,College Park- Gerrard Entrance,Union Station,27.0,31.46666666666667
251,King St E / Jarvis St,Victoria St / Queen St E,28.0,12.708333333333334
473,Victoria St / Queen St E,King St E / Jarvis St,28.0,8.925
180,College Park- Gerrard Entrance,Victoria St / Queen St E,28.0,3.35
395,Union Station,Victoria St / Queen St E,28.0,7.533333333333333
257,Toronto Eaton Centre (Yonge St),1 Market St - SMART,28.0,10.5
366,Union Station,King St E / Jarvis St,28.0,12.904166666666667
16,1 Market St - SMART,King St E / Jarvis St,28.0,3.025
59,Church St / Alexander St,Toronto Eaton Centre (Yonge St),28.0,10.4
264,Toronto Eaton Centre (Yonge St),Church St / Alexander St,28.0,6.466666666666667
225,Elm St/ University Ave (East Side),Willcocks St / St. George St,28.0,6.016666666666667
166,College Park- Gerrard Entrance,University Ave / Armoury St,28.0,5.316666666666666
510,Willcocks St / St. George St,College Park- Gerrard Entrance,28.0,8.891666666666666
92,Church St / Alexander St,Victoria St / Queen St E,28.0,7.1499999999999995
535,Willcocks St / St. George St,Victoria St / Queen St E,28.0,11.966666666666667
403,University Ave / Armoury St,1 Market St - SMART,28.0,21.05
209,Elm St/ University Ave (East Side),Union Station,28.0,9.85
288,Toronto Eaton Centre (Yonge St),King St E / Jarvis St,28.0,27.4
216,Elm St/ University Ave (East Side),University Ave / Armoury St,28.0,3.3833333333333333
122,College Park- Gerrard Entrance,King St E / Jarvis St,28.0,8.033333333333333
354,Union Station,Elm St/ University Ave (East Side),28.0,10.266666666666666
274,Toronto Eaton Centre (Yonge St),College Park- Gerrard Entrance,28.0,10.641666666666666
81,Church St / Alexander St,University Ave / Armoury St,29.0,10.433333333333334
275,Toronto Eaton Centre (Yonge St),College Park- Gerrard Entrance,29.0,9.466666666666667
436,Victoria St / Queen St E,Church St / Alexander St,29.0,9.4
60,Church St / Alexander St,Toronto Eaton Centre (Yonge St),29.0,5.35
17,1 Market St - SMART,King St E / Jarvis St,29.0,20.78333333333333
289,Toronto Eaton Centre (Yonge St),King St E / Jarvis St,29.0,6.7
418,University Ave / Armoury St,Union Station,29.0,5.783333333333334
48,Church St / Alexander St,Elm St/ University Ave (East Side),29.0,9.666666666666666
241,King St E / Jarvis St,Toronto Eaton Centre (Yonge St),29.0,14.716666666666667
134,College Park- Gerrard Entrance,Toronto Eaton Centre (Yonge St),29.0,2.775
519,Willcocks St / St. George St,King St E / Jarvis St,29.0,14.566666666666666
93,Church St / Alexander St,Victoria St / Queen St E,29.0,23.8
106,College Park- Gerrard Entrance,1 Market St - SMART,29.0,11.183333333333334
210,Elm St/ University Ave (East Side),Union Station,29.0,8.266666666666666
511,Willcocks St / St. George St,College Park- Gerrard Entrance,29.0,6.85
190,College Park- Gerrard Entrance,Willcocks St / St. George St,29.0,11.75
232,King St E / Jarvis St,Church St / Alexander St,29.0,10.75
152,College Park- Gerrard Entrance,Union Station,29.0,6.75
457,Victoria St / Queen St E,College Park- Gerrard Entrance,29.0,4.416666666666667
382,Union Station,Toronto Eaton Centre (Yonge St),29.0,8.233333333333333
337,Union Station,College Park- Gerrard Entrance,30.0,13.516666666666666
458,Victoria St / Queen St E,College Park- Gerrard Entrance,30.0,22.683333333333334
211,Elm St/ University Ave (East Side),Union Station,30.0,12.166666666666666
242,King St E / Jarvis St,Toronto Eaton Centre (Yonge St),30.0,11.341666666666667
135,College Park- Gerrard Entrance,Toronto Eaton Centre (Yonge St),30.0,3.283333333333333
196,Elm St/ University Ave (East Side),1 Market St - SMART,30.0,19.983333333333334
503,Willcocks St / St. George St,Church St / Alexander St,30.0,7.525
502,Willcocks St / St. George St,1 Market St - SMART,30.0,17.95
512,Willcocks St / St. George St,College Park- Gerrard Entrance,30.0,7.449999999999999
383,Union Station,Toronto Eaton Centre (Yonge St),30.0,7.6
490,Victoria St / Queen St E,Union Station,30.0,6.15
235,King St E / Jarvis St,College Park- Gerrard Entrance,30.0,15.733333333333333
316,Toronto Eaton Centre (Yonge St),Willcocks St / St. George St,30.0,16.916666666666664
474,Victoria St / Queen St E,King St E / Jarvis St,30.0,4.233333333333333
