Start Station Name,Start Time (minutes),1 Market St - SMART,Church St / Alexander St,College Park- Gerrard Entrance,Elm St/ University Ave (East Side),King St E / Jarvis St,Toronto Eaton Centre (Yonge St),Union Station,University Ave / Armoury St,Victoria St / Queen St E,Willcocks St / St. George St
King St E / Jarvis St,31.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Union Station,31.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0
College Park- Gerrard Entrance,31.0,0.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,0.0
Church St / Alexander St,31.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Willcocks St / St. George St,31.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.25,0.0,0.0
Victoria St / Queen St E,31.0,0.0,0.4,0.2,0.0,0.2,0.0,0.2,0.0,0.0,0.0
Elm St/ University Ave (East Side),31.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.8333333333333334,0.0,0.0,0.0
University Ave / Armoury St,31.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0
Toronto Eaton Centre (Yonge St),31.0,0.2,0.0,0.0,0.0,0.1,0.0,0.5,0.0,0.2,0.0
Church St / Alexander St,32.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0
Willcocks St / St. George St,32.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
University Ave / Armoury St,32.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.5,0.0,0.0,0.16666666666666666
Union Station,32.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Victoria St / Queen St E,32.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0
King St E / Jarvis St,32.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Elm St/ University Ave (East Side),32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0
Toronto Eaton Centre (Yonge St),32.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
College Park- Gerrard Entrance,32.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
Willcocks St / St. George St,33.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
King St E / Jarvis St,33.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0
1 Market St - SMART,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
University Ave / Armoury St,33.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
Elm St/ University Ave (East Side),33.0,0.0,0.0,0.25,0.0,0.0,0.0,0.75,0.0,0.0,0.0
College Park- Gerrard Entrance,33.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.0,0.14285714285714285,0.14285714285714285
Union Station,33.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.6666666666666666,0.0,0.0,0.16666666666666666,0.0
Church St / Alexander St,33.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0
Toronto Eaton Centre (Yonge St),33.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.5,0.0,0.16666666666666666,0.0
Victoria St / Queen St E,33.0,0.0,0.5,0.3333333333333333,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0
College Park- Gerrard Entrance,34.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3333333333333333,0.16666666666666666,0.0
Union Station,34.0,0.2,0.0,0.1,0.1,0.2,0.3,0.0,0.1,0.0,0.0
Church St / Alexander St,34.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
Elm St/ University Ave (East Side),34.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5
Toronto Eaton Centre (Yonge St),34.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.25
University Ave / Armoury St,34.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1 Market St - SMART,34.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Victoria St / Queen St E,34.0,0.0,0.2222222222222222,0.5,0.0,0.0,0.0,0.2222222222222222,0.05555555555555555,0.0,0.0
King St E / Jarvis St,34.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
Union Station,35.0,0.09090909090909091,0.0,0.09090909090909091,0.0,0.09090909090909091,0.7272727272727273,0.0,0.0,0.0,0.0
University Ave / Armoury St,35.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0
Elm St/ University Ave (East Side),35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0
