,Trip Id,Trip_Duration,Start Station Id,Start Time,Start Station Name,End Station Id,End Time,End Station Name,Bike Id,User Type,NumOfTrips,Start Time (minutes),End Time (minutes),Start Time (per 30min),End Time (per 30min)
439,18136692,4.383333333333333,7033,2022-08-25 06:27:00,Union Station,7009.0,2022-08-25 06:31:00,King St E / Jarvis St,4486,Casual Member,52,387,391,12.0,13.0
423,17962333,5.033333333333333,7033,2022-08-18 06:27:00,Union Station,7009.0,2022-08-18 06:32:00,King St E / Jarvis St,1277,Casual Member,52,387,392,12.0,13.0
445,18270445,4.766666666666667,7033,2022-08-30 06:27:00,Union Station,7009.0,2022-08-30 06:32:00,King St E / Jarvis St,5903,Casual Member,52,387,392,12.0,13.0
427,18068408,5.266666666666667,7033,2022-08-22 06:28:00,Union Station,7009.0,2022-08-22 06:33:00,King St E / Jarvis St,3303,Casual Member,52,388,393,12.0,13.0
438,18136690,4.35,7033,2022-08-25 06:27:00,Union Station,7009.0,2022-08-25 06:31:00,King St E / Jarvis St,3410,Casual Member,52,387,391,12.0,13.0
428,18068411,4.816666666666666,7033,2022-08-22 06:28:00,Union Station,7009.0,2022-08-22 06:33:00,King St E / Jarvis St,3311,Casual Member,52,388,393,12.0,13.0
436,18109706,3.933333333333333,7033,2022-08-24 06:28:00,Union Station,7009.0,2022-08-24 06:32:00,King St E / Jarvis St,2517,Casual Member,52,388,392,12.0,13.0
449,18291420,4.216666666666667,7033,2022-08-31 06:27:00,Union Station,7009.0,2022-08-31 06:31:00,King St E / Jarvis St,7168,Casual Member,52,387,391,12.0,13.0
78,17988486,3.283333333333333,7389,2022-08-19 06:29:00,College Park- Gerrard Entrance,7269.0,2022-08-19 06:32:00,Toronto Eaton Centre (Yonge St),2414,Casual Member,24,389,392,12.0,13.0
620,17590953,8.9,7066,2022-08-04 06:29:00,Willcocks St / St. George St,7269.0,2022-08-04 06:38:00,Toronto Eaton Centre (Yonge St),3165,Annual Member,3,389,398,12.0,13.0
417,17908751,4.666666666666667,7033,2022-08-16 06:29:00,Union Station,7009.0,2022-08-16 06:34:00,King St E / Jarvis St,935,Casual Member,52,389,394,12.0,13.0
